LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, CO2_MLN_TONNE ,Flag Codes
CAN,AIREMISSION,CO2,MLN_TONNE,A,2000, 503.64 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2001, 496.34 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2002, 514.63 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2003, 534.43 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2004, 519.65 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2005, 531.68 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2006, 522.43 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2007, 551.97 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2008, 533.54 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2009, 506.69 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2010, 520.84 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2011, 532.74 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2012, 530.00 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2013, 538.42 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2014, 543.56 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2015, 540.52 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2016, 538.44 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2017, 547.90 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2018, 558.80 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2019, 551.65 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2020, 497.89 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2021, 505.59 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2022, 511.57 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2000, 812.31 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2001, 831.48 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2002, 817.90 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2003, 820.69 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2004, 804.62 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2005, 786.93 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2006, 798.68 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2007, 767.02 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2008, 773.89 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2009, 720.18 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2010, 758.85 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2011, 731.24 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2012, 745.14 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2013, 763.65 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2014, 723.11 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2015, 729.68 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2016, 734.49 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2017, 718.79 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2018, 694.54 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2019, 645.40 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2020, 593.10 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2021, 624.09 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2022, 603.74 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2000, 364.67 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2001, 368.21 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2002, 362.52 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2003, 368.28 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2004, 368.88 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2005, 371.71 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2006, 362.43 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2007, 353.57 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2008, 349.33 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2009, 336.20 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2010, 340.05 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2011, 326.60 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2012, 330.45 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2013, 330.85 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2014, 298.72 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2015, 304.19 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2016, 306.63 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2017, 310.73 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2018, 299.95 ,
