LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, CO2_PER_CAP ,Flag Codes
CAN,AIREMISSION,CO2,TONNE_CAP,A,2000, 16.41 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2001, 16.00 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2002, 16.41 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2003, 16.89 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2004, 16.27 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2005, 16.49 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2006, 16.04 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2007, 16.78 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2008, 16.05 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2009, 15.07 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2010, 15.32 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2011, 15.51 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2012, 15.27 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2013, 15.35 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2014, 15.34 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2015, 15.14 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2016, 14.91 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2017, 14.99 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2018, 15.08 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2019, 14.67 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2020, 13.09 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2021, 13.22 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2022, 13.14 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2000, 9.97 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2001, 10.20 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2002, 10.03 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2003, 10.06 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2004, 9.88 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2005, 9.68 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2006, 9.84 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2007, 9.47 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2008, 9.58 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2009, 8.95 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2010, 9.45 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2011, 9.11 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2012, 9.27 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2013, 9.47 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2014, 8.93 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2015, 8.93 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2016, 8.92 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2017, 8.70 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2018, 8.38 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2019, 7.77 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2020, 7.13 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2021, 7.50 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2022, 7.21 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2000, 5.99 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2001, 6.00 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2002, 5.87 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2003, 5.92 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2004, 5.88 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2005, 5.88 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2006, 5.70 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2007, 5.52 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2008, 5.43 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2009, 5.20 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2010, 5.23 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2011, 5.00 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2012, 5.03 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2013, 5.01 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2014, 4.51 ,
