LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, GDP_MLN_USD ,Flag Codes
CAN,GDP,TOT,MLN_USD,A,2000," 901,003.29 ",
CAN,GDP,TOT,MLN_USD,A,2001," 937,793.04 ",
CAN,GDP,TOT,MLN_USD,A,2002," 971,009.09 ",
CAN,GDP,TOT,MLN_USD,A,2003," 1,023,686.55 ",
CAN,GDP,TOT,MLN_USD,A,2004," 1,083,615.23 ",
CAN,GDP,TOT,MLN_USD,A,2005," 1,171,340.16 ",
CAN,GDP,TOT,MLN_USD,A,2006," 1,241,618.91 ",
CAN,GDP,TOT,MLN_USD,A,2007," 1,301,593.85 ",
CAN,GDP,TOT,MLN_USD,A,2008," 1,342,396.61 ",
CAN,GDP,TOT,MLN_USD,A,2009," 1,307,000.66 ",
CAN,GDP,TOT,MLN_USD,A,2010," 1,363,578.98 ",
CAN,GDP,TOT,MLN_USD,A,2011," 1,430,807.13 ",
CAN,GDP,TOT,MLN_USD,A,2012," 1,468,094.97 ",
CAN,GDP,TOT,MLN_USD,A,2013," 1,554,122.75 ",
CAN,GDP,TOT,MLN_USD,A,2014," 1,621,396.71 ",
CAN,GDP,TOT,MLN_USD,A,2015," 1,594,850.84 ",
CAN,GDP,TOT,MLN_USD,A,2016," 1,678,093.40 ",
CAN,GDP,TOT,MLN_USD,A,2017," 1,765,763.15 ",
CAN,GDP,TOT,MLN_USD,A,2018," 1,852,987.76 ",
CAN,GDP,TOT,MLN_USD,A,2019," 1,899,694.99 ",
CAN,GDP,TOT,MLN_USD,A,2020," 1,838,806.49 ",
CAN,GDP,TOT,MLN_USD,A,2021," 2,126,695.67 ",
CAN,GDP,TOT,MLN_USD,A,2022," 2,389,540.66 ",
CAN,GDP,TOT,USD_CAP,A,2000," 29,362.29 ",
CAN,GDP,TOT,USD_CAP,A,2001," 30,231.01 ",
CAN,GDP,TOT,USD_CAP,A,2002," 30,963.22 ",
CAN,GDP,TOT,USD_CAP,A,2003," 32,350.07 ",
CAN,GDP,TOT,USD_CAP,A,2004," 33,925.89 ",
CAN,GDP,TOT,USD_CAP,A,2005," 36,327.66 ",
CAN,GDP,TOT,USD_CAP,A,2006," 38,120.18 ",
CAN,GDP,TOT,USD_CAP,A,2007," 39,575.32 ",
CAN,GDP,TOT,USD_CAP,A,2008," 40,376.33 ",
CAN,GDP,TOT,USD_CAP,A,2009," 38,865.41 ",
CAN,GDP,TOT,USD_CAP,A,2010," 40,099.50 ",
