LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, ENV_PAT_PC_TOT ,Flag Codes
CAN,PATENT_ENV,TOT,PC,A,2000, 8.03 ,
CAN,PATENT_ENV,TOT,PC,A,2001, 7.85 ,
CAN,PATENT_ENV,TOT,PC,A,2002, 8.92 ,
CAN,PATENT_ENV,TOT,PC,A,2003, 9.88 ,
CAN,PATENT_ENV,TOT,PC,A,2004, 9.80 ,
CAN,PATENT_ENV,TOT,PC,A,2005, 9.88 ,
CAN,PATENT_ENV,TOT,PC,A,2006, 10.19 ,
CAN,PATENT_ENV,TOT,PC,A,2007, 10.60 ,
CAN,PATENT_ENV,TOT,PC,A,2008, 11.03 ,
CAN,PATENT_ENV,TOT,PC,A,2009, 11.59 ,
CAN,PATENT_ENV,TOT,PC,A,2010, 12.58 ,
CAN,PATENT_ENV,TOT,PC,A,2011, 13.11 ,
CAN,PATENT_ENV,TOT,PC,A,2012, 12.85 ,
CAN,PATENT_ENV,TOT,PC,A,2013, 11.73 ,
CAN,PATENT_ENV,TOT,PC,A,2014, 12.56 ,
CAN,PATENT_ENV,TOT,PC,A,2015, 12.11 ,
CAN,PATENT_ENV,TOT,PC,A,2016, 11.97 ,
CAN,PATENT_ENV,TOT,PC,A,2017, 12.20 ,
CAN,PATENT_ENV,TOT,PC,A,2018, 11.42 ,
CAN,PATENT_ENV,TOT,PC,A,2019, 11.42 ,
CAN,PATENT_ENV,TOT,PC,A,2020, 10.85 ,
DEU,PATENT_ENV,TOT,PC,A,2000, 9.77 ,
DEU,PATENT_ENV,TOT,PC,A,2001, 9.89 ,
DEU,PATENT_ENV,TOT,PC,A,2002, 9.85 ,
DEU,PATENT_ENV,TOT,PC,A,2003, 9.32 ,
DEU,PATENT_ENV,TOT,PC,A,2004, 9.43 ,
DEU,PATENT_ENV,TOT,PC,A,2005, 9.81 ,
DEU,PATENT_ENV,TOT,PC,A,2006, 11.06 ,
DEU,PATENT_ENV,TOT,PC,A,2007, 11.67 ,
DEU,PATENT_ENV,TOT,PC,A,2008, 13.63 ,
DEU,PATENT_ENV,TOT,PC,A,2009, 14.81 ,
DEU,PATENT_ENV,TOT,PC,A,2010, 15.53 ,
DEU,PATENT_ENV,TOT,PC,A,2011, 15.75 ,
DEU,PATENT_ENV,TOT,PC,A,2012, 15.34 ,
DEU,PATENT_ENV,TOT,PC,A,2013, 14.35 ,
DEU,PATENT_ENV,TOT,PC,A,2014, 14.42 ,
DEU,PATENT_ENV,TOT,PC,A,2015, 13.92 ,
DEU,PATENT_ENV,TOT,PC,A,2016, 13.91 ,
DEU,PATENT_ENV,TOT,PC,A,2017, 14.29 ,
DEU,PATENT_ENV,TOT,PC,A,2018, 15.07 ,
DEU,PATENT_ENV,TOT,PC,A,2019, 13.61 ,
DEU,PATENT_ENV,TOT,PC,A,2020, 14.50 ,
FRA,PATENT_ENV,TOT,PC,A,2000, 6.50 ,
FRA,PATENT_ENV,TOT,PC,A,2001, 6.30 ,
FRA,PATENT_ENV,TOT,PC,A,2002, 6.83 ,
FRA,PATENT_ENV,TOT,PC,A,2003, 8.52 ,
FRA,PATENT_ENV,TOT,PC,A,2004, 8.31 ,
FRA,PATENT_ENV,TOT,PC,A,2005, 8.36 ,
FRA,PATENT_ENV,TOT,PC,A,2006, 9.39 ,
