LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, REC_Mill_USD ,Flag Codes
CAN,RENEWABLE,TOT,KTOE,A,2000," 1,297.33 ",
CAN,RENEWABLE,TOT,KTOE,A,2001," 1,031.56 ",
CAN,RENEWABLE,TOT,KTOE,A,2002," 1,102.38 ",
CAN,RENEWABLE,TOT,KTOE,A,2003," 1,264.55 ",
CAN,RENEWABLE,TOT,KTOE,A,2004," 1,685.35 ",
CAN,RENEWABLE,TOT,KTOE,A,2005," 2,307.02 ",
CAN,RENEWABLE,TOT,KTOE,A,2006," 2,752.86 ",
CAN,RENEWABLE,TOT,KTOE,A,2007," 3,133.82 ",
CAN,RENEWABLE,TOT,KTOE,A,2008," 4,539.54 ",
CAN,RENEWABLE,TOT,KTOE,A,2009," 2,651.90 ",
CAN,RENEWABLE,TOT,KTOE,A,2010," 3,367.95 ",
CAN,RENEWABLE,TOT,KTOE,A,2011," 4,998.59 ",
CAN,RENEWABLE,TOT,KTOE,A,2012," 5,051.90 ",
CAN,RENEWABLE,TOT,KTOE,A,2013," 5,239.77 ",
CAN,RENEWABLE,TOT,KTOE,A,2014," 4,740.24 ",
CAN,RENEWABLE,TOT,KTOE,A,2015," 2,559.04 ",
CAN,RENEWABLE,TOT,KTOE,A,2016," 2,125.43 ",
CAN,RENEWABLE,TOT,KTOE,A,2017," 2,729.54 ",
CAN,RENEWABLE,TOT,KTOE,A,2018," 3,537.90 ",
CAN,RENEWABLE,TOT,KTOE,A,2019," 3,129.06 ",
CAN,RENEWABLE,TOT,KTOE,A,2020," 2,246.47 ",
CAN,RENEWABLE,TOT,KTOE,A,2021," 3,244.74 ",
DEU,RENEWABLE,TOT,KTOE,A,2000, 252.34 ,
DEU,RENEWABLE,TOT,KTOE,A,2001, 232.72 ,
DEU,RENEWABLE,TOT,KTOE,A,2002, 263.10 ,
DEU,RENEWABLE,TOT,KTOE,A,2003, 391.39 ,
DEU,RENEWABLE,TOT,KTOE,A,2004, 586.70 ,
DEU,RENEWABLE,TOT,KTOE,A,2005, 970.72 ,
DEU,RENEWABLE,TOT,KTOE,A,2006," 1,433.58 ",
DEU,RENEWABLE,TOT,KTOE,A,2007," 1,875.00 ",
DEU,RENEWABLE,TOT,KTOE,A,2008," 2,630.57 ",
DEU,RENEWABLE,TOT,KTOE,A,2009," 1,657.04 ",
DEU,RENEWABLE,TOT,KTOE,A,2010," 2,414.12 ",
DEU,RENEWABLE,TOT,KTOE,A,2011," 3,523.81 ",
DEU,RENEWABLE,TOT,KTOE,A,2012," 4,015.48 ",
DEU,RENEWABLE,TOT,KTOE,A,2013," 4,042.94 ",
DEU,RENEWABLE,TOT,KTOE,A,2014," 3,653.75 ",
DEU,RENEWABLE,TOT,KTOE,A,2015," 2,054.69 ",
DEU,RENEWABLE,TOT,KTOE,A,2016," 1,662.91 ",
DEU,RENEWABLE,TOT,KTOE,A,2017," 2,238.96 ",
DEU,RENEWABLE,TOT,KTOE,A,2018," 2,985.54 ",
DEU,RENEWABLE,TOT,KTOE,A,2019," 2,838.43 ",
DEU,RENEWABLE,TOT,KTOE,A,2020," 1,961.64 ",
DEU,RENEWABLE,TOT,KTOE,A,2021," 3,204.68 ",
FRA,RENEWABLE,TOT,KTOE,A,2000, 443.52 ,
FRA,RENEWABLE,TOT,KTOE,A,2001, 400.23 ,
