LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, TERM_TRADE_RT ,Flag Codes
CAN,TERMTRADE,TOT,RT,A,2000, 92.95 ,
CAN,TERMTRADE,TOT,RT,A,2001, 91.94 ,
CAN,TERMTRADE,TOT,RT,A,2002, 89.77 ,
CAN,TERMTRADE,TOT,RT,A,2003, 94.72 ,
CAN,TERMTRADE,TOT,RT,A,2004, 98.94 ,
CAN,TERMTRADE,TOT,RT,A,2005, 102.42 ,
CAN,TERMTRADE,TOT,RT,A,2006, 103.50 ,
CAN,TERMTRADE,TOT,RT,A,2007, 106.61 ,
CAN,TERMTRADE,TOT,RT,A,2008, 111.23 ,
CAN,TERMTRADE,TOT,RT,A,2009, 101.10 ,
CAN,TERMTRADE,TOT,RT,A,2010, 106.45 ,
CAN,TERMTRADE,TOT,RT,A,2011, 110.03 ,
CAN,TERMTRADE,TOT,RT,A,2012, 108.37 ,
CAN,TERMTRADE,TOT,RT,A,2013, 109.05 ,
CAN,TERMTRADE,TOT,RT,A,2014, 107.52 ,
CAN,TERMTRADE,TOT,RT,A,2015, 100.00 ,
CAN,TERMTRADE,TOT,RT,A,2016, 98.89 ,
CAN,TERMTRADE,TOT,RT,A,2017, 102.49 ,
CAN,TERMTRADE,TOT,RT,A,2018, 102.88 ,
CAN,TERMTRADE,TOT,RT,A,2019, 101.98 ,
CAN,TERMTRADE,TOT,RT,A,2020, 98.59 ,
CAN,TERMTRADE,TOT,RT,A,2021, 112.62 ,
CAN,TERMTRADE,TOT,RT,A,2022, 118.52 ,
DEU,TERMTRADE,TOT,RT,A,2000, 96.70 ,
DEU,TERMTRADE,TOT,RT,A,2001, 96.73 ,
DEU,TERMTRADE,TOT,RT,A,2002, 98.64 ,
DEU,TERMTRADE,TOT,RT,A,2003, 100.48 ,
DEU,TERMTRADE,TOT,RT,A,2004, 100.63 ,
DEU,TERMTRADE,TOT,RT,A,2005, 98.91 ,
DEU,TERMTRADE,TOT,RT,A,2006, 97.24 ,
DEU,TERMTRADE,TOT,RT,A,2007, 97.72 ,
DEU,TERMTRADE,TOT,RT,A,2008, 96.06 ,
DEU,TERMTRADE,TOT,RT,A,2009, 100.36 ,
DEU,TERMTRADE,TOT,RT,A,2010, 98.12 ,
DEU,TERMTRADE,TOT,RT,A,2011, 95.59 ,
DEU,TERMTRADE,TOT,RT,A,2012, 95.43 ,
