LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, UNR_PC_LF ,Flag Codes
CAN,HUR,TOT,PC_LF,A,2000, 6.82 ,
CAN,HUR,TOT,PC_LF,A,2001, 7.22 ,
CAN,HUR,TOT,PC_LF,A,2002, 7.68 ,
CAN,HUR,TOT,PC_LF,A,2003, 7.58 ,
CAN,HUR,TOT,PC_LF,A,2004, 7.19 ,
CAN,HUR,TOT,PC_LF,A,2005, 6.76 ,
CAN,HUR,TOT,PC_LF,A,2006, 6.47 ,
CAN,HUR,TOT,PC_LF,A,2007, 6.17 ,
CAN,HUR,TOT,PC_LF,A,2008, 6.29 ,
CAN,HUR,TOT,PC_LF,A,2009, 8.45 ,
CAN,HUR,TOT,PC_LF,A,2010, 8.18 ,
CAN,HUR,TOT,PC_LF,A,2011, 7.63 ,
CAN,HUR,TOT,PC_LF,A,2012, 7.40 ,
CAN,HUR,TOT,PC_LF,A,2013, 7.15 ,
CAN,HUR,TOT,PC_LF,A,2014, 7.03 ,
CAN,HUR,TOT,PC_LF,A,2015, 6.94 ,
CAN,HUR,TOT,PC_LF,A,2016, 7.03 ,
CAN,HUR,TOT,PC_LF,A,2017, 6.43 ,
CAN,HUR,TOT,PC_LF,A,2018, 5.84 ,
CAN,HUR,TOT,PC_LF,A,2019, 5.69 ,
CAN,HUR,TOT,PC_LF,A,2020, 9.69 ,
CAN,HUR,TOT,PC_LF,A,2021, 7.54 ,
DEU,HUR,TOT,PC_LF,A,2000, 8.01 ,
DEU,HUR,TOT,PC_LF,A,2001, 7.86 ,
DEU,HUR,TOT,PC_LF,A,2002, 8.68 ,
DEU,HUR,TOT,PC_LF,A,2003, 9.81 ,
DEU,HUR,TOT,PC_LF,A,2004, 10.50 ,
DEU,HUR,TOT,PC_LF,A,2005, 11.28 ,
DEU,HUR,TOT,PC_LF,A,2006, 10.28 ,
DEU,HUR,TOT,PC_LF,A,2007, 8.54 ,
DEU,HUR,TOT,PC_LF,A,2008, 7.43 ,
DEU,HUR,TOT,PC_LF,A,2009, 7.23 ,
DEU,HUR,TOT,PC_LF,A,2010, 6.58 ,
DEU,HUR,TOT,PC_LF,A,2011, 5.52 ,
DEU,HUR,TOT,PC_LF,A,2012, 5.08 ,
DEU,HUR,TOT,PC_LF,A,2013, 4.95 ,
DEU,HUR,TOT,PC_LF,A,2014, 4.71 ,
DEU,HUR,TOT,PC_LF,A,2015, 4.37 ,
DEU,HUR,TOT,PC_LF,A,2016, 3.91 ,
DEU,HUR,TOT,PC_LF,A,2017, 3.57 ,
DEU,HUR,TOT,PC_LF,A,2018, 3.21 ,
DEU,HUR,TOT,PC_LF,A,2019, 2.98 ,
DEU,HUR,TOT,PC_LF,A,2020, 3.63 ,
DEU,HUR,TOT,PC_LF,A,2021, 3.58 ,
FRA,HUR,TOT,PC_LF,A,2000, 9.56 ,
FRA,HUR,TOT,PC_LF,A,2001, 8.74 ,
FRA,HUR,TOT,PC_LF,A,2002, 8.63 ,B
FRA,HUR,TOT,PC_LF,A,2003, 8.52 ,
FRA,HUR,TOT,PC_LF,A,2004, 8.90 ,
FRA,HUR,TOT,PC_LF,A,2005, 8.88 ,
FRA,HUR,TOT,PC_LF,A,2006, 8.85 ,
FRA,HUR,TOT,PC_LF,A,2007, 8.02 ,
FRA,HUR,TOT,PC_LF,A,2008, 7.43 ,
FRA,HUR,TOT,PC_LF,A,2009, 9.12 ,
FRA,HUR,TOT,PC_LF,A,2010, 9.28 ,
FRA,HUR,TOT,PC_LF,A,2011, 9.22 ,
FRA,HUR,TOT,PC_LF,A,2012, 9.76 ,
FRA,HUR,TOT,PC_LF,A,2013, 10.30 ,
FRA,HUR,TOT,PC_LF,A,2014, 10.28 ,
FRA,HUR,TOT,PC_LF,A,2015, 10.35 ,
FRA,HUR,TOT,PC_LF,A,2016, 10.07 ,
FRA,HUR,TOT,PC_LF,A,2017, 9.43 ,
FRA,HUR,TOT,PC_LF,A,2018, 9.03 ,
FRA,HUR,TOT,PC_LF,A,2019, 8.43 ,
FRA,HUR,TOT,PC_LF,A,2020, 8.03 ,
FRA,HUR,TOT,PC_LF,A,2021, 7.88 ,
GBR,HUR,TOT,PC_LF,A,2000, 5.45 ,
GBR,HUR,TOT,PC_LF,A,2001, 5.08 ,
GBR,HUR,TOT,PC_LF,A,2002, 5.18 ,
GBR,HUR,TOT,PC_LF,A,2003, 5.03 ,
GBR,HUR,TOT,PC_LF,A,2004, 4.75 ,
GBR,HUR,TOT,PC_LF,A,2005, 4.80 ,
GBR,HUR,TOT,PC_LF,A,2006, 5.43 ,
GBR,HUR,TOT,PC_LF,A,2007, 5.33 ,
GBR,HUR,TOT,PC_LF,A,2008, 5.70 ,
GBR,HUR,TOT,PC_LF,A,2009, 7.63 ,
GBR,HUR,TOT,PC_LF,A,2010, 7.88 ,
GBR,HUR,TOT,PC_LF,A,2011, 8.13 ,
GBR,HUR,TOT,PC_LF,A,2012, 7.98 ,
GBR,HUR,TOT,PC_LF,A,2013, 7.60 ,
GBR,HUR,TOT,PC_LF,A,2014, 6.18 ,
GBR,HUR,TOT,PC_LF,A,2015, 5.35 ,
GBR,HUR,TOT,PC_LF,A,2016, 4.90 ,
GBR,HUR,TOT,PC_LF,A,2017, 4.43 ,
GBR,HUR,TOT,PC_LF,A,2018, 4.10 ,
GBR,HUR,TOT,PC_LF,A,2019, 3.83 ,
GBR,HUR,TOT,PC_LF,A,2020, 4.58 ,
GBR,HUR,TOT,PC_LF,A,2021, 4.53 ,
ITA,HUR,TOT,PC_LF,A,2000, 10.05 ,
ITA,HUR,TOT,PC_LF,A,2001, 9.01 ,
ITA,HUR,TOT,PC_LF,A,2002, 8.48 ,
ITA,HUR,TOT,PC_LF,A,2003, 8.43 ,B
ITA,HUR,TOT,PC_LF,A,2004, 8.05 ,
ITA,HUR,TOT,PC_LF,A,2005, 7.78 ,
ITA,HUR,TOT,PC_LF,A,2006, 6.87 ,
ITA,HUR,TOT,PC_LF,A,2007, 6.15 ,
ITA,HUR,TOT,PC_LF,A,2008, 6.78 ,
ITA,HUR,TOT,PC_LF,A,2009, 7.88 ,
ITA,HUR,TOT,PC_LF,A,2010, 8.54 ,
ITA,HUR,TOT,PC_LF,A,2011, 8.51 ,
ITA,HUR,TOT,PC_LF,A,2012, 10.88 ,
ITA,HUR,TOT,PC_LF,A,2013, 12.37 ,
ITA,HUR,TOT,PC_LF,A,2014, 12.83 ,
ITA,HUR,TOT,PC_LF,A,2015, 12.00 ,
ITA,HUR,TOT,PC_LF,A,2016, 11.75 ,
ITA,HUR,TOT,PC_LF,A,2017, 11.26 ,
ITA,HUR,TOT,PC_LF,A,2018, 10.60 ,
